姓名,性别,年龄,婚姻状况,受教育程度,人生阶段,是否有车,通勤距离,通勤方式,职业,家庭编号,预期行为,行为时间,回家时间,house_ue_id,AGE,SEX,IDENTITY_ID,id,age_type
余骏,男,32,已婚,高中,上班族,无车,30-60分钟,公共交通,建筑,699,去工作地,8时3分,18时13分,YSHY_8_1_023F_01,32,男性,3ec9be20-1a8e-4016-8e38-42697666133c,3ec9be20-1a8e-4016-8e38-42697666133c,teenager
苏钊,男,80,未婚,小学及以下,退休,有车,15分钟内,驾车,金融,2273,去小区商场,9时8分,14时36分,YSHY_9_1_017F_03,80,男性,230dfbbb-7a34-4649-952c-cbd4fd955cbd,230dfbbb-7a34-4649-952c-cbd4fd955cbd,old
马学俊,男,57,未婚,大专,上班族,无车,60分钟以上,公共交通,批发和零售,2387,去工作地,8时0分,18时29分,YSHY_7_1_022F_04,57,男性,8cd0091b-f0a7-472c-9133-88b014542d45,8cd0091b-f0a7-472c-9133-88b014542d45,old
沈学,男,34,未婚,小学及以下,上班族,有车,60分钟以上,驾车,制造业,1617,去工作地,8时3分,19时31分,YSHY_10_1_003F_01,34,男性,9054a8f9-450e-453e-a6b7-bad94e5e92aa,9054a8f9-450e-453e-a6b7-bad94e5e92aa,teenager
许驰,男,27,未婚,初中,上班族,无车,15分钟内,公共交通,制造业,2469,去工作地,7时40分,17时29分,YSHY_3_1_007F_01,27,男性,65af078f-241a-4fd4-8f61-cc5e3d16fb6c,65af078f-241a-4fd4-8f61-cc5e3d16fb6c,teenager
田茹,女,57,未婚,高中,退休,无车,15分钟内,驾车,金融,1645,去小区商场,11时16分,16时39分,YSHY_8_1_018F_04,57,女性,61261666-1388-49e2-b5de-29811a13e998,61261666-1388-49e2-b5de-29811a13e998,old
冯珺倩,女,46,未婚,小学及以下,上班族,无车,15分钟内,驾车,金融,2172,去工作地,8时9分,18时39分,YSHY_11_1_025F_02,46,女性,9b24326a-38ff-470d-bbb4-0df3df71f770,9b24326a-38ff-470d-bbb4-0df3df71f770,middle-aged
曹政杰,男,8,未婚,小学及以下,未成年学生,无车,15分钟内,驾车,学生,363,去学校,7时24分,16时2分,YSHY_9_1_016F_04,8,男性,d86e37cb-4537-4d0d-aa3e-16ea3d35ba90,d86e37cb-4537-4d0d-aa3e-16ea3d35ba90,child
梁琳媛,女,64,未婚,小学及以下,退休,无车,15分钟内,骑车,教育,454,去小区商场,10时0分,15时27分,YSHY_5_1_002F_02,64,女性,71768193-e852-44a8-9f16-2d09fc8d6c69,71768193-e852-44a8-9f16-2d09fc8d6c69,old
于秀洁,女,57,未婚,初中,上班族,无车,15分钟内,驾车,科研,1646,去工作地,7时28分,18时25分,YSHY_6_1_030F_04,57,女性,62af91db-f60c-4d10-9ff7-20eefd27a33b,62af91db-f60c-4d10-9ff7-20eefd27a33b,old
胡峰勋,男,37,未婚,初中,上班族,无车,15分钟内,驾车,金融,1396,去工作地,7时27分,19时12分,YSHY_3_1_014F_04,37,男性,c9568791-27c4-48fc-a49b-6bcc15b200fe,c9568791-27c4-48fc-a49b-6bcc15b200fe,teenager
叶俊勇,男,20,未婚,小学及以下,上班族,无车,15分钟内,公共交通,卫生/公共安全,1629,去工作地,8时14分,19时51分,YSHY_5_1_008F_01,20,男性,653e16a5-3de5-4a48-bf53-9acbebc1fcb9,653e16a5-3de5-4a48-bf53-9acbebc1fcb9,teenager
魏燕婷,女,58,未婚,小学及以下,退休,无车,15分钟内,公共交通,教育,2241,去小区商场,10时13分,15时30分,YSHY_6_1_011F_04,58,女性,a152ca2b-6fdd-457b-918e-62394b0c057d,a152ca2b-6fdd-457b-918e-62394b0c057d,old
程红,女,76,未婚,小学及以下,退休,有车,15分钟内,驾车,采矿业,2257,去小区商场,9时13分,14时28分,YSHY_12_1_004F_03,76,女性,0e8aee81-b538-4657-920a-b0d8f4d12c00,0e8aee81-b538-4657-920a-b0d8f4d12c00,old
刘美,女,37,已婚,小学及以下,上班族,无车,15分钟内,公共交通,卫生/公共安全,1223,去工作地,7时55分,18时6分,YSHY_2_1_009F_01,37,女性,f45effcb-76ae-441e-99b3-d619031c2e6b,f45effcb-76ae-441e-99b3-d619031c2e6b,teenager
彭莎,女,25,已婚,小学及以下,上班族,无车,60分钟以上,公共交通,采矿业,567,去工作地,8时6分,18时33分,YSHY_11_1_013F_02,25,女性,e17fed79-5802-4d4c-a694-36d818352427,e17fed79-5802-4d4c-a694-36d818352427,teenager
任珺萍,女,11,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,1047,去学校,7时27分,16时55分,YSHY_7_1_017F_02,11,女性,62dcef2f-887c-4ef9-8c5f-ee94f2f3b7e9,62dcef2f-887c-4ef9-8c5f-ee94f2f3b7e9,child
何鹏,男,44,未婚,小学及以下,上班族,有车,15-30分钟,驾车,卫生/公共安全,1777,去工作地,7时48分,17时17分,YSHY_3_1_008F_03,44,男性,eb9e3538-5525-4a89-8694-4a6b512c58b3,eb9e3538-5525-4a89-8694-4a6b512c58b3,middle-aged
肖松,男,44,未婚,高中,上班族,无车,15分钟内,公共交通,制造业,2470,去工作地,7时37分,18时26分,YSHY_1_1_021F_01,44,男性,7f0d8d95-2740-41a4-8c02-90860f9bc4ef,7f0d8d95-2740-41a4-8c02-90860f9bc4ef,middle-aged
许美,女,55,已婚,高中,退休,有车,15分钟内,驾车,建筑,1147,去小区商场,9时31分,14时57分,YSHY_8_1_012F_02,55,女性,3d0ca303-313d-45d2-8bea-9cd13d5be0cd,3d0ca303-313d-45d2-8bea-9cd13d5be0cd,old
胡萍,女,64,未婚,初中,退休,有车,15分钟内,公共交通,制造业,1876,去小区商场,9时23分,14时40分,YSHY_1_1_003F_04,64,女性,e0d3ffeb-bc3d-425f-9a57-71a4a4a18015,e0d3ffeb-bc3d-425f-9a57-71a4a4a18015,old
袁红,女,7,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,1255,去学校,7时29分,15时58分,YSHY_4_1_003F_02,7,女性,20054d92-2388-40fb-842b-d9831d9c5802,20054d92-2388-40fb-842b-d9831d9c5802,child
王敏,女,37,未婚,小学及以下,上班族,无车,15-30分钟,驾车,制造业,2029,去工作地,7时36分,19时7分,YSHY_4_1_005F_02,37,女性,c8501edd-61f4-4fb9-a93f-9eacf04928e1,c8501edd-61f4-4fb9-a93f-9eacf04928e1,teenager
朱唯,女,34,已婚,小学及以下,上班族,有车,15-30分钟,驾车,金融,252,去工作地,8时9分,19时15分,YSHY_3_1_017F_01,34,女性,5be54bae-ed3e-4ee4-8b5f-3850b974096e,5be54bae-ed3e-4ee4-8b5f-3850b974096e,teenager
苏博勇,男,50,未婚,初中,上班族,有车,15分钟内,骑车,制造业,2435,去工作地,7时45分,17时27分,YSHY_11_1_023F_03,50,男性,6630cf56-7e2b-4385-96a4-443d92b82459,6630cf56-7e2b-4385-96a4-443d92b82459,middle-aged
朱紫媛,女,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,1026,去学校,7时25分,15时59分,YSHY_5_1_001F_01,2,女性,22047f63-d364-4172-8b07-5d82ec738bb4,22047f63-d364-4172-8b07-5d82ec738bb4,child
曹航柏,男,71,已婚,高中,自由职业,有车,30-60分钟,公共交通,制造业,700,去小区公共场所,11时4分,13时39分,YSHY_7_1_023F_03,71,男性,ac4c8763-6523-49b5-a22c-b458b9c7e85d,ac4c8763-6523-49b5-a22c-b458b9c7e85d,old
于豪文,男,18,未婚,初中,自由职业,有车,15-30分钟,公共交通,制造业,1416,去小区公共场所,11时2分,13时36分,YSHY_10_1_005F_01,18,男性,9930325b-b9f3-491f-9f3b-a95fc121f6a8,9930325b-b9f3-491f-9f3b-a95fc121f6a8,child
曾馨慧,女,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,676,去学校,7时29分,15时59分,YSHY_13_1_017F_03,1,女性,0d735c34-0eb0-4509-a762-1803a2e4dad0,0d735c34-0eb0-4509-a762-1803a2e4dad0,child
郑燕,女,13,未婚,小学及以下,未成年学生,无车,15-30分钟,骑车,学生,464,去学校,7时30分,17时27分,YSHY_10_1_014F_04,13,女性,f84d715e-cd5e-432f-9cd2-47f96fc82b55,f84d715e-cd5e-432f-9cd2-47f96fc82b55,child
孙刚洋,男,14,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,61,去学校,7时23分,17时29分,YSHY_4_1_023F_03,14,男性,14dbdfb9-9838-471f-b982-d0bbcb05ec3e,14dbdfb9-9838-471f-b982-d0bbcb05ec3e,child
彭琴,女,4,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,241,去学校,7时28分,16时0分,YSHY_3_1_008F_01,4,女性,0779710e-8743-4375-b9f6-c6c931fa941d,0779710e-8743-4375-b9f6-c6c931fa941d,child
余志浩,男,86,未婚,小学及以下,退休,有车,15分钟内,公共交通,交通运输/仓储/邮政,2462,去小区商场,10时40分,15时35分,YSHY_4_1_008F_02,86,男性,2ea46f6f-99ae-4df2-af13-2256163f10db,2ea46f6f-99ae-4df2-af13-2256163f10db,old
胡华,男,33,未婚,高中,上班族,无车,15-30分钟,公共交通,教育,2133,去工作地,7时41分,19时12分,YSHY_9_1_008F_01,33,男性,de203ea0-db84-4578-882e-6308c48ff091,de203ea0-db84-4578-882e-6308c48ff091,teenager
余珺,女,71,未婚,小学及以下,上班族,有车,15分钟内,驾车,金融,1799,去工作地,7时47分,19时1分,YSHY_4_1_007F_03,71,女性,c29d22ad-5b4f-4528-be4a-e1e60c1ae58c,c29d22ad-5b4f-4528-be4a-e1e60c1ae58c,old
沈珊,女,34,未婚,小学及以下,上班族,无车,60分钟以上,公共交通,制造业,1984,去工作地,7时19分,18时18分,YSHY_10_1_001F_01,34,女性,fa544d9e-897d-472d-8c1c-43078a1bab20,fa544d9e-897d-472d-8c1c-43078a1bab20,teenager
丁超,男,54,已婚,小学及以下,上班族,无车,15分钟内,驾车,制造业,701,去工作地,8时17分,17时34分,YSHY_2_1_020F_02,54,男性,afea2cb6-22e8-4363-b9bb-2b0c27701876,afea2cb6-22e8-4363-b9bb-2b0c27701876,middle-aged
肖青倩,女,49,未婚,小学及以下,自由职业,无车,15-30分钟,驾车,信息/软件技术,2363,去小区公共场所,11时46分,15时51分,YSHY_3_1_027F_03,49,女性,209a33b5-8558-4efb-9c9d-439eff35d277,209a33b5-8558-4efb-9c9d-439eff35d277,middle-aged
胡娜,女,84,未婚,小学及以下,退休,有车,15分钟内,驾车,教育,2471,去小区商场,11时50分,16时44分,YSHY_9_1_025F_04,84,女性,6e655263-b310-45ca-9aab-80a5c841f518,6e655263-b310-45ca-9aab-80a5c841f518,old
杜光,男,56,未婚,小学及以下,上班族,无车,15分钟内,公共交通,制造业,2303,去工作地,7时50分,18时36分,YSHY_3_1_025F_01,56,男性,2f845d25-6481-431d-a00d-0186181a1c44,2f845d25-6481-431d-a00d-0186181a1c44,old
张博政,男,37,未婚,初中,上班族,无车,30-60分钟,驾车,教育,1239,去工作地,7时49分,19时0分,YSHY_12_1_020F_03,37,男性,61a7f898-b474-4a78-ac91-4683c3ef4644,61a7f898-b474-4a78-ac91-4683c3ef4644,teenager
胡涵,男,11,未婚,小学及以下,未成年学生,无车,60分钟以上,驾车,学生,1308,去学校,7时32分,16时59分,YSHY_9_1_025F_02,11,男性,a7c64ced-b2df-4846-8eba-1a2170c15fdb,a7c64ced-b2df-4846-8eba-1a2170c15fdb,child
吴立,男,61,已婚,小学及以下,退休,有车,15分钟内,驾车,制造业,702,去小区商场,9时0分,13时40分,YSHY_10_1_024F_03,61,男性,3c695e54-97c2-459b-b61f-ef7f1868bda0,3c695e54-97c2-459b-b61f-ef7f1868bda0,old
丁玲,女,10,未婚,小学及以下,未成年学生,无车,15-30分钟,骑车,学生,701,去学校,7时36分,17时2分,YSHY_2_1_020F_02,10,女性,68a978b4-ef57-46ad-9f10-0c40da0c376c,68a978b4-ef57-46ad-9f10-0c40da0c376c,child
宋勋强,男,50,已婚,高中,上班族,有车,30-60分钟,驾车,金融,703,去工作地,7时45分,19时3分,YSHY_10_1_021F_01,50,男性,fd81bb78-e33c-4c09-bed0-3cb9c708f874,fd81bb78-e33c-4c09-bed0-3cb9c708f874,middle-aged
林驰,男,85,已婚,小学及以下,退休,有车,15分钟内,驾车,社会保障/公共管理,704,去小区商场,11时2分,16时28分,YSHY_9_1_008F_03,85,男性,ba5f2842-1c0d-4b46-9b30-706bd27c73f5,ba5f2842-1c0d-4b46-9b30-706bd27c73f5,old
张娜,女,78,未婚,小学及以下,退休,无车,15分钟内,公共交通,租赁/商务服务,1686,去小区商场,11时3分,15时51分,YSHY_4_1_009F_04,78,女性,dd93233c-5a12-4cfe-8a00-8b9c1d325c66,dd93233c-5a12-4cfe-8a00-8b9c1d325c66,old
邓莎萍,女,41,已婚,初中,上班族,无车,15-30分钟,驾车,社会保障/公共管理,744,去工作地,7时43分,18时59分,YSHY_13_1_019F_02,41,女性,fb677aee-9e93-4cb6-b11c-b80fb71f5b81,fb677aee-9e93-4cb6-b11c-b80fb71f5b81,middle-aged
彭斌,男,12,未婚,小学及以下,未成年学生,无车,15-30分钟,步行,学生,801,去学校,7时28分,16时53分,YSHY_6_1_017F_02,12,男性,b9ba553c-c50f-4473-9d14-9581da271559,b9ba553c-c50f-4473-9d14-9581da271559,child
张娟珺,女,36,未婚,小学及以下,上班族,有车,15分钟内,驾车,社会保障/公共管理,2472,去工作地,7时17分,17时23分,YSHY_8_1_005F_04,36,女性,45921425-70f8-4582-b548-729e9482d144,45921425-70f8-4582-b548-729e9482d144,teenager
周华,男,12,未婚,小学及以下,未成年学生,无车,15-30分钟,公共交通,学生,677,去学校,7时30分,17时4分,YSHY_4_1_017F_03,12,男性,3d50845c-ab7d-45f4-a5ec-1fdbd39e1248,3d50845c-ab7d-45f4-a5ec-1fdbd39e1248,child
赵梅敏,女,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,300,去学校,7时30分,15时59分,YSHY_3_1_031F_04,2,女性,a182f83f-89aa-48f0-af0c-d5b15e0742e1,a182f83f-89aa-48f0-af0c-d5b15e0742e1,child
刘芳,女,43,已婚,小学及以下,上班族,无车,15-30分钟,公共交通,社会保障/公共管理,353,去工作地,7时25分,17时14分,YSHY_4_1_024F_02,43,女性,7d3ac4a7-9ed5-4c61-9bc3-0389540d5e0d,7d3ac4a7-9ed5-4c61-9bc3-0389540d5e0d,middle-aged
王洋凛,男,54,已婚,小学及以下,自由职业,无车,15分钟内,驾车,社会保障/公共管理,705,去小区公共场所,10时44分,13时52分,YSHY_9_1_017F_03,54,男性,1d04fb3e-5bc5-45ed-8d6e-10a6ca9fb0c8,1d04fb3e-5bc5-45ed-8d6e-10a6ca9fb0c8,middle-aged
郭晓,女,36,未婚,小学及以下,上班族,有车,15分钟内,驾车,自然资源,1699,去工作地,8时7分,19时37分,YSHY_13_1_014F_03,36,女性,e38e5638-e4e5-4bae-a5eb-b59e94144ca2,e38e5638-e4e5-4bae-a5eb-b59e94144ca2,teenager
王莎,女,4,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,550,去学校,7时30分,16时2分,YSHY_6_1_001F_01,4,女性,7ec18fe1-b52e-400a-9fa4-62a64e8b3af8,7ec18fe1-b52e-400a-9fa4-62a64e8b3af8,child
吴磊杰,男,50,已婚,高中,上班族,无车,15-30分钟,驾车,建筑,706,去工作地,7时21分,18时42分,YSHY_6_1_018F_02,50,男性,13f8752b-718a-4938-ad7f-a395cb7897a6,13f8752b-718a-4938-ad7f-a395cb7897a6,middle-aged
胡静,女,96,未婚,小学及以下,退休,无车,15分钟内,驾车,制造业,2473,去小区商场,8时30分,13时8分,YSHY_4_1_026F_01,96,女性,393f7c71-be76-4893-a849-3df316696be4,393f7c71-be76-4893-a849-3df316696be4,old
余强晓,男,88,未婚,初中,退休,有车,15分钟内,驾车,建筑,1690,去小区商场,9时22分,14时11分,YSHY_8_1_005F_02,88,男性,f9d80184-ba0f-4529-ade8-e931db53c2af,f9d80184-ba0f-4529-ade8-e931db53c2af,old
李政宇,男,33,未婚,小学及以下,上班族,无车,15分钟内,公共交通,社会保障/公共管理,1858,去工作地,7时52分,19时30分,YSHY_10_1_012F_04,33,男性,dd844ca9-737e-4739-8160-f2847e0d30d2,dd844ca9-737e-4739-8160-f2847e0d30d2,teenager
林燕紫,女,80,未婚,小学及以下,退休,无车,15分钟内,其他,建筑,-1,去小区商场,10时4分,14时44分,YSHY_9_1_027F_01,80,女性,6168b62e-9f9f-4a2b-adfb-2775f4cb560d,6168b62e-9f9f-4a2b-adfb-2775f4cb560d,old
胡斯,女,52,未婚,初中,上班族,有车,30-60分钟,驾车,制造业,2474,去工作地,7时45分,17时46分,YSHY_13_1_012F_01,52,女性,15fd0ff1-2bdd-4e57-b444-458f68137a74,15fd0ff1-2bdd-4e57-b444-458f68137a74,middle-aged
马武彦,男,49,已婚,大专,上班族,无车,30-60分钟,驾车,制造业,707,去工作地,7时54分,18时32分,YSHY_7_1_006F_03,49,男性,654340d5-af16-46d6-b07d-1dc3ddba2462,654340d5-af16-46d6-b07d-1dc3ddba2462,middle-aged
田洁莹,女,52,未婚,初中,上班族,有车,60分钟以上,公共交通,信息/软件技术,2115,去工作地,7时40分,19时2分,YSHY_6_1_021F_01,52,女性,7dca98b6-b936-4055-9673-4d026b0eece0,7dca98b6-b936-4055-9673-4d026b0eece0,middle-aged
刘峰磊,男,19,未婚,初中,上班族,无车,15分钟内,步行,社会保障/公共管理,1341,去工作地,8时17分,17时43分,YSHY_6_1_011F_02,19,男性,13eee84d-5d9c-4713-b31a-73bf39572f2d,13eee84d-5d9c-4713-b31a-73bf39572f2d,teenager
杜梦梅,女,37,未婚,初中,上班族,无车,15分钟内,驾车,制造业,2475,去工作地,7时42分,18时27分,YSHY_13_1_020F_03,37,女性,9986b134-19cc-47d7-873c-d2d1124aab22,9986b134-19cc-47d7-873c-d2d1124aab22,teenager
魏健驰,男,72,未婚,小学及以下,退休,无车,15分钟内,驾车,公共设施,1961,去小区商场,10时23分,15时47分,YSHY_7_1_018F_03,72,男性,441f06fd-8d5e-460a-ad34-dad3043900d4,441f06fd-8d5e-460a-ad34-dad3043900d4,old
董珊,女,38,已婚,高中,上班族,无车,15-30分钟,驾车,制造业,259,去工作地,7时43分,18时37分,YSHY_10_1_003F_03,38,女性,565502d1-2cbc-446b-83d0-89f30cce76ce,565502d1-2cbc-446b-83d0-89f30cce76ce,teenager
林梅珊,女,33,未婚,小学及以下,上班族,无车,60分钟以上,驾车,制造业,1508,去工作地,7时45分,19时39分,YSHY_13_1_021F_04,33,女性,fdec93ab-158c-4f50-96fd-5d085fddff43,fdec93ab-158c-4f50-96fd-5d085fddff43,teenager
宋舟,男,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,824,去学校,7时30分,15时55分,YSHY_8_1_003F_03,1,男性,7e0dc118-5682-4b82-86b7-444263f0d19d,7e0dc118-5682-4b82-86b7-444263f0d19d,child
高宇,男,37,未婚,初中,上班族,无车,15分钟内,驾车,交通运输/仓储/邮政,2390,去工作地,8时7分,17时44分,YSHY_11_1_021F_02,37,男性,554e4f8a-a777-482f-ba89-fedcdb983ebf,554e4f8a-a777-482f-ba89-fedcdb983ebf,teenager
罗玲茹,女,8,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,777,去学校,7时29分,16时1分,YSHY_1_1_007F_04,8,女性,30971530-2343-4557-b976-3657600d23ba,30971530-2343-4557-b976-3657600d23ba,child
肖宗志,男,48,未婚,小学及以下,上班族,无车,15分钟内,骑车,教育,195,去工作地,7时21分,18时18分,YSHY_1_1_017F_03,48,男性,c43a8b23-dc1e-4420-9b71-c10bf4a1e5d3,c43a8b23-dc1e-4420-9b71-c10bf4a1e5d3,middle-aged
梁豪勋,男,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,625,去学校,7时38分,15时59分,YSHY_7_1_018F_02,2,男性,f350269a-0a73-416b-a98f-6e80a3acdf17,f350269a-0a73-416b-a98f-6e80a3acdf17,child
梁斌,男,36,未婚,小学及以下,上班族,无车,15分钟内,驾车,信息/软件技术,1492,去工作地,7时23分,18时49分,YSHY_2_1_012F_02,36,男性,31eae436-f88e-4f75-9ef5-28414922e647,31eae436-f88e-4f75-9ef5-28414922e647,teenager
宋志钊,男,16,未婚,小学及以下,上班族,无车,15-30分钟,公共交通,社会保障/公共管理,318,去工作地,7时43分,18时58分,YSHY_13_1_022F_03,16,男性,c349b084-1610-444e-a69b-8911f60efd82,c349b084-1610-444e-a69b-8911f60efd82,child
郭婷,女,44,未婚,初中,上班族,有车,30-60分钟,其他,房地产,2309,去工作地,7时31分,19时18分,YSHY_13_1_009F_04,44,女性,ac2c3790-4c29-483c-93b7-4d5ba8504a86,ac2c3790-4c29-483c-93b7-4d5ba8504a86,middle-aged
沈驰,男,13,未婚,小学及以下,未成年学生,无车,15分钟内,公共交通,学生,65,去学校,7时26分,17时28分,YSHY_10_1_008F_04,13,男性,92879d3b-7db0-4511-b3ad-b85114355ad3,92879d3b-7db0-4511-b3ad-b85114355ad3,child
胡立钊,男,19,未婚,小学及以下,上班族,有车,15-30分钟,驾车,交通运输/仓储/邮政,2476,去工作地,7时16分,19时37分,YSHY_8_1_006F_04,19,男性,8218dc71-7205-41b9-a069-ab7bddba0846,8218dc71-7205-41b9-a069-ab7bddba0846,teenager
蒋勇,男,10,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,405,去学校,7时31分,16时53分,YSHY_4_1_026F_03,10,男性,79b2b684-9eb5-4006-86eb-b66634204805,79b2b684-9eb5-4006-86eb-b66634204805,child
苏芳,女,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,858,去学校,7时37分,15时59分,YSHY_2_1_001F_01,1,女性,34cf491f-e6e3-4122-92eb-6d9c58bbf74b,34cf491f-e6e3-4122-92eb-6d9c58bbf74b,child
陈勋政,男,31,未婚,小学及以下,上班族,有车,15-30分钟,公共交通,卫生/公共安全,1718,去工作地,8时10分,18时26分,YSHY_11_1_018F_03,31,男性,0f7dd396-dfd1-446c-a7a0-eff7894a283a,0f7dd396-dfd1-446c-a7a0-eff7894a283a,teenager
孙燕娜,女,47,已婚,小学及以下,上班族,有车,15分钟内,驾车,采矿业,641,去工作地,7时40分,18时31分,YSHY_7_1_014F_01,47,女性,52d3bebe-e20e-4ec7-82ec-0195dd53eab6,52d3bebe-e20e-4ec7-82ec-0195dd53eab6,middle-aged
沈宗,男,34,未婚,高中,上班族,无车,15分钟内,驾车,制造业,1786,去工作地,8时9分,17时54分,YSHY_13_1_022F_01,34,男性,4ff47c96-4983-43bb-a53e-60265c42cb1a,4ff47c96-4983-43bb-a53e-60265c42cb1a,teenager
张莹,女,82,未婚,高中,退休,无车,15分钟内,驾车,制造业,1413,去小区商场,11时3分,15时55分,YSHY_5_1_029F_04,82,女性,1db423e5-dda3-4b26-8a2b-dce6b29863fa,1db423e5-dda3-4b26-8a2b-dce6b29863fa,old
杜伟,男,3,未婚,小学及以下,未成年学生,无车,15分钟内,步行,学生,397,去学校,7时25分,16时0分,YSHY_5_1_008F_01,3,男性,d71b2ca9-d394-4a2f-9037-6b4fd249134a,d71b2ca9-d394-4a2f-9037-6b4fd249134a,child
吕柏勇,男,5,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,497,去学校,7时37分,15时55分,YSHY_13_1_025F_04,5,男性,1c10d7e6-3a0b-4ec6-8bed-a88782ad8d35,1c10d7e6-3a0b-4ec6-8bed-a88782ad8d35,child
王雅,女,90,已婚,初中,自由职业,有车,15-30分钟,驾车,卫生/公共安全,219,去小区公共场所,10时57分,15时49分,YSHY_12_1_015F_03,90,女性,7951910f-2323-4503-aea8-c77fd83c9b65,7951910f-2323-4503-aea8-c77fd83c9b65,old
杜敏,女,41,未婚,初中,上班族,有车,15-30分钟,驾车,制造业,2117,去工作地,8时8分,19时44分,YSHY_4_1_023F_02,41,女性,219f795d-9349-4a14-9db4-c849dcb3dc01,219f795d-9349-4a14-9db4-c849dcb3dc01,middle-aged
沈珊倩,女,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,1307,去学校,7时26分,16时3分,YSHY_5_1_029F_02,1,女性,c30b1a9a-2dc8-4b57-8be8-5e4130bc8755,c30b1a9a-2dc8-4b57-8be8-5e4130bc8755,child
曹勋文,男,4,未婚,小学及以下,未成年学生,无车,15-30分钟,骑车,学生,382,去学校,7时21分,16时4分,YSHY_6_1_014F_02,4,男性,28f5282d-2223-427a-8eee-5860a86aeac5,28f5282d-2223-427a-8eee-5860a86aeac5,child
吕珊,女,10,未婚,小学及以下,未成年学生,无车,15-30分钟,公共交通,学生,306,去学校,7时30分,17时0分,YSHY_3_1_009F_01,10,女性,123d541d-4e9c-4f67-a987-8dc5752f8488,123d541d-4e9c-4f67-a987-8dc5752f8488,child
何纯,女,42,未婚,初中,上班族,无车,30-60分钟,公共交通,制造业,907,去工作地,7时30分,17时43分,YSHY_3_1_023F_02,42,女性,85f4da64-aabb-4678-b4db-c63d085a4f04,85f4da64-aabb-4678-b4db-c63d085a4f04,middle-aged
吴婷,女,63,未婚,小学及以下,上班族,无车,15-30分钟,公共交通,社会保障/公共管理,2477,去工作地,7时36分,18时56分,YSHY_13_1_018F_02,63,女性,1f249706-d0e9-4881-bb6e-530c2bf217b9,1f249706-d0e9-4881-bb6e-530c2bf217b9,old
林天,男,18,未婚,小学及以下,上班族,无车,15分钟内,驾车,金融,2420,去工作地,7时48分,19时32分,YSHY_12_1_024F_03,18,男性,395f6764-89f7-48ad-aa98-c8f78a904f53,395f6764-89f7-48ad-aa98-c8f78a904f53,child
于飞,男,42,已婚,初中,上班族,无车,30-60分钟,驾车,制造业,708,去工作地,7时32分,17时56分,YSHY_9_1_014F_04,42,男性,abe6a02b-9e8f-49a2-a5bb-1f08fe27ee9b,abe6a02b-9e8f-49a2-a5bb-1f08fe27ee9b,middle-aged
苏钊豪,男,50,未婚,初中,上班族,有车,15分钟内,公共交通,租赁/商务服务,1580,去工作地,7时32分,18时47分,YSHY_4_1_015F_02,50,男性,62768d17-8dc4-4cff-a476-bf4e96209b3b,62768d17-8dc4-4cff-a476-bf4e96209b3b,middle-aged
丁俊建,男,54,已婚,小学及以下,上班族,无车,30-60分钟,驾车,批发和零售,709,去工作地,8时1分,18时30分,YSHY_2_1_019F_04,54,男性,a7a840fb-21cf-4584-81c8-f280ba63c474,a7a840fb-21cf-4584-81c8-f280ba63c474,middle-aged
唐宗,男,50,未婚,高中,上班族,无车,15-30分钟,驾车,科研,1902,去工作地,7时42分,18时4分,YSHY_4_1_017F_03,50,男性,7742f395-3878-4f6c-bb93-9b424878c9ce,7742f395-3878-4f6c-bb93-9b424878c9ce,middle-aged
孙驰松,男,44,已婚,小学及以下,上班族,有车,15-30分钟,公共交通,交通运输/仓储/邮政,710,去工作地,7时44分,18时18分,YSHY_11_1_028F_01,44,男性,3ce1af6e-ed9d-440d-89b2-1148911fb580,3ce1af6e-ed9d-440d-89b2-1148911fb580,middle-aged
何柏,男,43,未婚,初中,上班族,无车,30-60分钟,驾车,科研,1686,去工作地,7时36分,18时30分,YSHY_4_1_009F_04,43,男性,40ddb03d-9ae8-4752-82d0-f91765799a5b,40ddb03d-9ae8-4752-82d0-f91765799a5b,middle-aged
林天俊,男,80,未婚,小学及以下,退休,有车,15分钟内,驾车,金融,2204,去小区商场,9时1分,13时33分,YSHY_4_1_002F_02,80,男性,060cc305-425a-4eaa-8fe4-5117e145d199,060cc305-425a-4eaa-8fe4-5117e145d199,old
